EIGEN VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1.272874357446197e+36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55342256427472100000000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162499969897737000000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153497976205848000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342153792948593000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337995248608149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23242741390300.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723455969204.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45330839.766382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.6496812144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.97698989726683E-023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.08160267430646E-025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.52449376285334E-028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.47881818260675E-028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.78946274029498E-030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.86790581723222E-041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.12768037727032E-056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.3263236922011E-055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.17561239255192E-037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.28284028091696E-036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.98872562062164E-028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.82237756994529E-026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.01427853787894E-022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.08411991898366E-022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8318270.34099141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
