image,s00,s10,s01,s20,s11,s02,s30,s21,s12,s03,c20,c11,c02,c30,c21,c12,c03,n20,n11,n02,n30,n21,n12,n03,hu0,hu1,hu2,hu3,hu4,hu5,hu6
left1.jpg,1.97287e+08,1.23789e+11,9.1965e+10,1.09641e+14,5.79066e+13,5.81741e+13,1.09417e+17,5.11598e+16,3.67651e+16,4.10059e+16,3.19689e+13,2.02545e+11,1.53047e+13,5.03617e+14,-2.03379e+14,7.45659e+13,-3.80452e+14,0.000821358,5.20387e-06,0.000393214,9.21204e-07,-3.72017e-07,1.36394e-07,-6.95913e-07,0.00121457,1.83416e-07,4.38682e-13,2.25899e-12,-2.53204e-25,-3.29116e-17,2.23447e-24,
Exit.png,1.00515e+08,4.26045e+10,3.62229e+10,2.49358e+13,1.53626e+13,1.80692e+13,1.63991e+16,8.99994e+15,7.66532e+15,1.01508e+16,6.87733e+12,9.0765e+09,5.01546e+12,-3.30842e+11,6.07513e+12,-7.20268e+10,2.42781e+13,0.000680703,8.98373e-07,0.00049642,-3.2662e-09,5.99761e-08,-7.11077e-10,2.39683e-07,0.00117712,3.39636e-08,3.57196e-15,8.98117e-14,1.60584e-27,-1.65493e-17,-9.44898e-29,
Disabled.png,8.49602e+07,3.23942e+10,3.10606e+10,1.69913e+13,1.18576e+13,1.57401e+13,1.00482e+16,6.22397e+15,6.01752e+15,8.94583e+15,4.63988e+12,1.45986e+10,4.38462e+12,3.14021e+13,9.70587e+11,5.37827e+12,-1.45201e+13,0.000642799,2.02246e-06,0.000607436,4.71976e-07,1.4588e-08,8.08358e-08,-2.18238e-07,0.00125024,1.26692e-09,1.21301e-13,3.47074e-13,-2.37211e-26,8.42964e-18,6.7147e-26,
Do Not Enter.png,5.65545e+07,1.54793e+10,1.51425e+10,5.7937e+12,4.1439e+12,5.50024e+12,2.43332e+15,1.54986e+15,1.50417e+15,2.24592e+15,1.55695e+12,-6.8363e+08,1.44581e+12,-4.73191e+12,-1.03237e+12,-9.07296e+11,-1.00704e+12,0.000486788,-2.1374e-07,0.000452039,-1.96729e-07,-4.29208e-08,-3.77207e-08,-4.18675e-08,0.000938827,1.20764e-09,1.45341e-14,6.21556e-14,1.81632e-27,1.6432e-18,-4.37026e-28,
No Parking.png,5.3555e+07,1.46436e+10,1.46727e+10,5.45213e+12,4.01002e+12,5.43128e+12,2.28088e+15,1.48887e+15,1.484e+15,2.24986e+15,1.44811e+12,-1.95128e+09,1.41134e+12,-1.82178e+12,-3.80126e+12,-1.05872e+10,-1.15197e+13,0.000504894,-6.8033e-07,0.000492077,-8.67952e-08,-1.81104e-07,-5.04407e-10,-5.48836e-07,0.000996971,1.6614e-10,7.30353e-15,5.40434e-13,-9.78747e-27,-6.90507e-18,3.25119e-26,
No U-turn.png,8.41303e+07,2.98498e+10,2.72121e+10,1.44405e+13,9.64716e+12,1.19491e+13,7.81468e+15,4.65571e+15,4.22529e+15,5.88362e+15,3.84963e+12,-7.83085e+09,3.14726e+12,-4.06065e+13,-9.54625e+12,-9.23817e+12,-1.73084e+13,0.000543894,-1.10638e-06,0.000444659,-6.25481e-07,-1.47045e-07,-1.423e-07,-2.66609e-07,0.000988553,9.85257e-09,6.98942e-14,7.60598e-13,1.26931e-25,4.01123e-17,-1.21008e-25,
40-1.jpg,2.28731e+08,1.45913e+11,9.97772e+10,1.28281e+14,6.32476e+13,6.00258e+13,1.26752e+17,5.54956e+16,3.78923e+16,4.09579e+16,3.51996e+13,-4.02718e+11,1.65009e+13,8.66482e+12,5.04806e+13,-4.82857e+13,3.77398e+14,0.000672801,-7.6975e-06,0.000315396,1.09508e-08,6.37984e-08,-6.10245e-08,4.76964e-07,0.000988197,1.27975e-07,1.19195e-13,2.94931e-13,5.24946e-26,-1.02784e-16,1.73835e-26,
One Lane.png,1.46263e+08,6.09044e+10,5.85764e+10,3.48239e+13,2.43897e+13,3.21722e+13,2.24035e+16,1.39531e+16,1.34016e+16,1.98815e+16,9.46311e+12,-1.72526e+09,8.71308e+12,2.16998e+13,8.00111e+12,6.38569e+12,1.79967e+13,0.000442349,-8.06468e-08,0.000407289,8.38728e-08,3.09254e-08,2.46815e-08,6.95597e-08,0.000849639,1.22921e-09,6.35593e-16,2.18813e-14,3.91713e-29,5.56196e-20,-7.15851e-29,
One Way.png,3.18424e+07,1.27372e+10,5.05667e+09,6.79936e+12,2.01424e+12,1.09821e+12,4.03169e+15,1.07021e+15,4.33526e+14,2.65045e+14,1.70439e+12,-8.4627e+09,2.95195e+11,-5.16449e+13,-2.78032e+12,-3.07718e+12,-3.10946e+12,0.00168096,-8.34636e-06,0.000291137,-9.02636e-06,-4.85936e-07,-5.37822e-07,-5.43463e-07,0.0019721,1.93189e-06,5.5787e-11,9.25332e-11,6.51722e-21,1.25331e-13,-1.31384e-21,
Railway crossing.png,1.70866e+07,2.63718e+09,2.50781e+09,5.6633e+11,3.8698e+11,5.15946e+11,1.36821e+14,8.32372e+13,7.96888e+13,1.19515e+14,1.59303e+11,-7.89308e+07,1.47875e+11,2.38487e+11,1.41307e+11,7.99616e+10,3.82542e+11,0.000545645,-2.70354e-07,0.000506503,1.97617e-07,1.1709e-07,6.62582e-08,3.16984e-07,0.00105215,1.53231e-09,1.17699e-15,2.5805e-13,4.56126e-28,-4.77345e-18,-4.47402e-27,
