EIGEN VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.57E+038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1191685041695270000000000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30618874035720900000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283750070490860000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7679554554034840000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592562632564009000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10562183541997200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4852367583425790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045784958090710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1859.4248115938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.97432842359769E-053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.6695253550784E-049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.70836622749949E-037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.53078847405966E-032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6.18891088387114E-032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.10509657130055E-026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.2020912348344E-025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.12323130704525E-024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.73010412715247E-024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7.72688553586652E-023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.92444369172712E-021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.93155131358315E-020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.32175270211051E-019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.55655926277017E-019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-497942135.778998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6323718718.62919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7309248332155.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-185351506846790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5885524542280930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1154355968199350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6.76E+020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EIGEN VECTORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.27E-011,9.3897181354008E-008,6.87673410836239E-008,0.0002620726,0.0001429562,0.0001428335,0.8082549836,0.391709923,0.2908847075,0.3295574894,0.000063313,-3.30353272920419E-006,3.52195679005492E-005,-0.007883653,0.0010715472,0.0010970624,-0.0007397852,-1.19285275271115E-023,4.52937856856127E-025,-2.48657597398038E-024,-3.06916259350511E-025,2.1469528758306E-026,-1.32246165626752E-026,9.18211737605799E-027,-1.44151035010919E-023,-3.19042698420574E-026,-5.35897577457432E-030,-7.0534362580309E-030,-4.97504794171951E-039,-1.37041789387979E-032,-3.0013984084807E-041
9.77622655548111E-011,1.36750269142963E-007,1.59552709856351E-007,8.87336027274937E-005,0.00021781,0.0003226486,-0.5032041728,0.1024095283,0.4447392744,0.7226918776,-4.22199435865217E-005,-4.15825076395748E-007,7.03528560468748E-005,0.1133071497,-0.0560036431,0.0153429319,-0.0032843475,-9.32574864211407E-023,2.36909747256311E-024,-3.48205494713146E-024,-1.87218853980635E-026,-3.8106053191426E-025,6.63994825113516E-026,3.454223831504E-027,-9.67395413682717E-023,-1.42634516130941E-025,-2.35082719976229E-029,-2.63859604918911E-029,-1.6654867299891E-038,-4.71667387208596E-032,-9.26164702289001E-041
-9.34481847973399E-009,-5.14089914593452E-006,-6.19652994822375E-006,-0.0030336302,-0.0022307042,-0.0040361369,-0.1426958534,0.3527350567,0.5937187969,-0.5847658347,-0.001201235,0.0001825118,-0.0010712344,0.342860708,-0.1952461712,0.0430134374,-0.056612724,9.60159809230494E-020,7.1729431030643E-021,-3.01098447492344E-020,1.74097944952224E-021,3.84564704743883E-023,-1.17574422206626E-023,-9.28219627842709E-024,6.59061361738184E-020,2.57133240935293E-022,4.21225362984931E-026,5.05094630718327E-026,3.74212622104276E-035,1.03397720748826E-028,1.61514737515209E-037
9.15786429599587E-009,8.74340796823159E-006,4.13318791908385E-007,0.0082725563,0.0017184128,0.0001093578,0.1856316047,-0.4762994122,0.083795763,0.0522040001,0.0027055335,-0.0001503595,0.0032455684,0.5832993653,-0.0424354603,0.049527896,0.6199609528,1.02676831341776E-019,1.43122875821007E-020,-1.39669919256491E-020,1.50099616250231E-021,6.60897927639122E-022,-1.74696474524217E-022,1.6285740500995E-021,8.87098394161503E-020,2.34849371342204E-022,3.71577822374966E-026,3.85521451277706E-026,3.49821039477023E-035,9.54152735864495E-029,-4.81512067316877E-038
4.26266632955962E-009,4.30044281910536E-006,-2.78769616474595E-007,0.0048839385,0.0009804159,-0.0003666061,-0.163392899,0.6832195635,-0.5344118209,0.0686056481,0.0015318525,-7.99933189005044E-005,0.0017251228,0.3136934033,-0.0196526751,0.0249235841,0.3417159899,6.52185557960129E-020,8.57441057362163E-021,-1.02650287592933E-020,9.80175351423404E-022,3.72148583815007E-022,-9.85086952362403E-023,9.07873641600206E-022,5.49305623184204E-020,1.52163295724347E-022,2.41957995297889E-026,2.56520781694513E-026,2.26088407145945E-035,6.17904133160478E-029,-3.75342169040742E-075
1.8235356155072E-007,0.0001329954,0.0001417387,0.1209915185,0.082805323,0.1556224304,-0.0006478975,0.0002831417,-0.0019032173,-0.002292615,0.0229583757,-0.0049737707,0.0357670759,-0.058506785,0.1107659991,0.9677282422,-0.0159801047,-1.73524215149357E-018,-1.31757476365442E-019,5.30658434771912E-019,-3.11969404944326E-020,-1.01230861547465E-021,2.92127274366559E-022,-6.27557990030542E-022,-1.20537630763215E-018,-4.61685370306229E-021,-7.55947395721835E-025,-9.05313140212495E-025,-6.70884249900866E-034,-1.85661430848119E-027,-4.40925954759257E-083
0.000000105,-0.0002041769,4.03719195154173E-005,0.2876749882,0.6620809907,0.4138474154,-0.0003561476,0.0012763729,0.0023865622,-0.0023877767,0.4868170601,-0.0002926773,0.1951484657,0.0268692299,0.0058516447,-0.1772888637,-0.018643643,4.75234949488245E-018,4.0126454671069E-019,-1.34007090101489E-018,8.33442935617799E-020,6.88769232432528E-021,-1.92370459007912E-021,1.20332345843848E-020,3.47223291081217E-018,1.25142627920447E-020,2.00764599505602E-024,2.3734878147982E-024,3.49874910218239E-070,4.92035479718939E-027,-3.53651282307608E-078
-1.66812836758941E-006,-0.0004348158,-0.0012915089,0.6802610123,-0.6129134008,0.3656691125,0.000070975,-0.0001180925,3.31658081252398E-006,-0.0003454963,0.0434281411,0.0172251952,0.1156831249,-0.01577044,-0.0615969381,-0.0903732498,0.0095243392,2.51221428858711E-017,2.02162734757011E-018,-7.4828998762847E-018,4.46025262620384E-019,2.38246593742065E-020,-6.75289943509675E-021,3.30049464393219E-020,1.75577884069089E-017,6.61003782215788E-020,1.08314963269935E-023,1.28399577793951E-023,-1.73327417180464E-073,2.66792360696346E-026,-7.48089709266687E-076
2.58183979106145E-006,0.0010986008,0.0028918413,-0.4355684084,-0.4016313917,0.104602663,-4.29464757897819E-005,0.0001281426,-0.0001545449,0.0002668297,0.7836579662,-0.0698820923,-0.1238371825,0.0046422013,0.0250644835,0.0549937085,-0.0028174053,-3.9991435405126E-017,-3.21846399234315E-018,1.18143002163382E-017,-7.10733131747371E-019,-3.90059363239302E-020,1.10066672453837E-020,-5.6257737877395E-020,-2.80647205796547E-017,-1.04928190021131E-019,-1.72496365727263E-023,-2.0479619223356E-023,-1.04584542811693E-070,-4.23688034923938E-026,-9.70826245768173E-093
0.9999990284,0.0004529502,-0.0013183694,4.60235365193519E-007,-2.0811560654393E-007,-4.92148071693446E-007,-1.20020131826217E-010,3.21165871342196E-010,6.6246798171301E-010,-6.78520969125599E-010,6.3167845230475E-007,-5.23938483528808E-006,-3.47834771102457E-007,1.47270537067748E-009,-1.45735138092002E-008,-4.59169000869775E-008,-2.64293775826946E-008,-4.11849078437324E-013,4.82182091809804E-014,4.49447104474613E-013,-1.28956350155227E-014,9.03489825418807E-015,-2.31739363029865E-015,2.36843849554627E-014,-3.21410410719624E-014,-1.95668161229909E-015,-3.57865820749265E-019,-4.70005697881198E-019,-1.14634980142572E-069,1.08604746007466E-049,1.48821423499095E-077
1.95029845595164E-045,1.25135210432132E-042,1.02074954787844E-042,8.88325630170857E-040,4.43059721186701E-040,6.57195472795286E-040,3.19635230427606E-038,-7.98850599773927E-038,-9.18095477338554E-038,9.7038810402191E-038,3.24289844302538E-040,-3.67184798253432E-041,3.29305754057529E-040,-2.7280231447241E-038,2.94866607641553E-038,-4.56102215404433E-039,3.89953308681494E-038,-1.0563991618761E-056,-4.69381871321945E-058,4.19065575853683E-057,-2.08919073230572E-058,2.56117113597678E-059,-6.51284011322975E-060,7.99170178551875E-059,-6.37333586022355E-057,-3.02225414536731E-059,-5.01422067761462E-063,-6.30169301556012E-063,-4.35965651614584E-072,-1.21058999423296E-065,1
1.22375758854065E-040,8.90955971428849E-038,9.53525036365919E-038,8.09507751818449E-035,5.55712094419179E-035,1.04577628092613E-034,1.42244447035232E-036,-1.0960424724552E-035,-1.26675784503756E-035,1.61116698348479E-035,1.53402027060819E-035,-3.33864229586087E-036,2.39051476733824E-035,-8.27689292825482E-035,8.63683694812812E-035,6.44863525619396E-034,-3.40940559436943E-035,-1.17283092219916E-051,-8.9321957057865E-053,3.57968117304484E-052,-2.10718915352917E-053,-7.0865452816842E-055,2.03858078744695E-055,-4.89022352616341E-055,-8.15394785013112E-052,-3.11894927893824E-054,-5.1063184949019E-058,-6.11279251688368E-058,1,-1.25428965923299E-060,8.49146523124177E-110
2.5605790775706E-026,-6.00520904257952E-024,1.73594764295871E-023,-4.45318623623283E-027,2.52411809633447E-027,3.20284291737674E-027,1.75418719093915E-030,-4.78800887396022E-030,-6.94787470350389E-030,8.35202553944048E-030,-1.34359214552066E-026,-9.64721263696113E-026,-1.03089796645788E-026,-1.01384664069896E-030,1.35432161579673E-028,2.16188666396071E-028,4.92651817080067E-029,-3.13760683697125E-037,-2.32680228092967E-038,1.00009938919329E-037,-5.82983231646243E-039,-8.66851284134911E-041,2.74745939885509E-041,1.51734477779051E-040,-2.12066725660067E-037,-8.43934922564747E-040,-1.38032613734343E-043,-1.64880200452383E-043,-7.45140805086368E-096,1,1.02395695412901E-099
3.57875947612103E-019,-2.34744214267018E-021,6.61125361084811E-021,-1.63806556505015E-024,9.28054251262388E-025,1.1633649638132E-024,6.63203032079251E-028,-1.80974276057075E-027,-2.58298198352937E-027,3.14599732038654E-027,-5.26354985843586E-024,-4.15242111417895E-023,-4.36999662727448E-024,3.8164941323299E-029,5.00823051023853E-026,7.3795508027275E-026,1.43256988108018E-026,-1.47515046842422E-031,1.72461379056696E-032,1.60882688436393E-031,-4.61729236527666E-033,3.23324652146069E-033,-8.2930491776487E-034,8.4758958093479E-033,-1.15888963668975E-032,-7.00574736103485E-034,1,-1.68266432020277E-037,-4.102424492415E-088,3.88659265888044E-068,5.7408556947676E-096
4.70017752847527E-019,-2.86383082821445E-021,7.81371779898224E-021,-1.93703818591709E-024,1.07115865971584E-024,1.40103662593311E-024,7.79755235055301E-028,-2.10400036138622E-027,-3.01699637584708E-027,3.67210018331603E-027,-6.30216023693522E-024,-5.09874909791704E-023,-5.05138511561029E-024,-1.05485057286986E-028,5.88525616255361E-026,8.91320983015043E-026,2.55201087198508E-026,-1.93724692986206E-031,2.2651482971171E-032,2.1129162219995E-031,-6.06387200031603E-033,4.2464131915548E-033,-1.0891752784373E-033,1.11318750700428E-032,-1.52100024141121E-032,-9.200639716272E-034,2.07292314739831E-065,1,-5.38794540464588E-088,5.10448494662291E-068,7.4849077714427E-096
2.31738928402753E-015,-1.55680232684483E-018,-5.53947979478995E-018,1.42160882454195E-021,-1.62728085035042E-021,-1.77708817415043E-022,-5.88527387569465E-025,2.5217252289886E-024,3.32418070830085E-024,-4.14240565097719E-024,1.69929017647439E-021,-4.96699291072058E-021,7.65788162268613E-021,-1.99858620433248E-023,-9.80502327720182E-023,-5.82587947239311E-023,2.28825403782855E-022,-9.54390063195928E-028,1.11742893570137E-028,1.04153886619147E-027,-2.98838172223425E-029,2.09374638410724E-029,1,5.48861402329051E-029,-7.44641084597809E-029,6.69445975449045E-035,1.67459466620636E-065,1.96272996827318E-065,-2.65654372792915E-084,3.67037758244476E-068,3.44877818879441E-092
-9.03488286025498E-015,6.22855815366152E-018,2.0475077472232E-017,-5.02955549343243E-021,5.81116453216065E-021,-8.95897142600797E-023,2.13574894234971E-024,-9.4309822010857E-024,-1.23829150888837E-023,1.54782799709448E-023,-6.00689959314757E-021,2.86013432325358E-020,-2.51514109196558E-020,7.14635008844095E-023,3.56171052674596E-022,2.07711979199535E-022,-8.85187808567305E-022,3.72093077103775E-027,-4.35654232553563E-028,-4.06068758342918E-027,1.16509365536811E-028,1,1.64734677643957E-062,-2.13986389953218E-028,2.90328629640883E-028,-2.10016122057432E-034,-5.00004307335521E-066,-4.82829373450174E-066,1.035715381963E-083,5.51458396167267E-069,-1.34458641946286E-091
-2.36843733581725E-014,2.36396536898023E-017,3.43732764167613E-017,-8.32889539645647E-021,1.25234682264622E-020,-3.96200506077564E-021,3.56119315526226E-024,-1.93932447704689E-023,-2.51670836133402E-023,3.16325884968686E-023,9.44520319408782E-022,1.96951302062817E-019,-5.51310375007935E-020,1.88884604097182E-022,8.12301712098611E-022,3.41532835937632E-022,-2.38858939520526E-021,9.7545248216399E-027,-1.14201254504681E-027,-1.06449350016055E-026,2.92306901286064E-033,-6.34924950173581E-043,-1.09134994353149E-046,1,7.61314996945473E-028,3.97636486529742E-034,-1.31072720785E-065,-1.26570251992413E-065,2.71505899906441E-083,1.44560558696632E-068,-3.52474388400574E-091
1.95674375225597E-015,-1.46447601201052E-017,4.06613668562943E-017,-1.01079339201724E-020,5.64601927592966E-021,7.14213938442743E-021,4.09543048703056E-024,-1.11907983738605E-023,-1.58996191331787E-023,1.94630812861268E-023,-3.31836500696945E-020,-2.61989878120752E-019,-2.55266012643588E-020,-2.65705545763092E-024,3.01484814654042E-022,4.42254390633127E-022,8.30791477148001E-023,-8.06642133134008E-028,9.42895581472935E-029,8.79675211204537E-028,-2.52472378304065E-029,1.76784192829628E-029,-4.53440150486442E-030,4.63428005409668E-029,-6.34198445008572E-029,1,3.00824263383712E-065,3.54715308124472E-065,-2.24304730595773E-084,7.02604889132804E-068,-2.73529753569646E-093
1.28960648617753E-014,-1.0641643504049E-016,2.79984907003539E-016,-6.83499258597043E-020,3.54724700795531E-020,4.88865298016652E-020,2.7686258309063E-023,-7.41168849965362E-023,-1.06296593273912E-022,1.29489055755354E-022,-2.27350561139201E-019,-1.74972064407475E-018,-1.5914457130724E-019,-6.18915883695483E-023,1.98631326180649E-021,3.13750872095588E-021,7.90346878995577E-022,-5.31647413074218E-027,6.2140359058882E-028,5.79763690082574E-027,1,2.28349056045329E-043,1.24312350197376E-051,3.05425183952781E-028,-4.18137427606602E-028,1.96208229203759E-048,7.13647999829752E-066,6.89105430766974E-066,-1.47829086386127E-083,-7.87011204881481E-069,1.91914675982525E-091
-4.82163962266204E-014,-3.12409825889564E-016,1.30337551507623E-015,-3.26903913011289E-019,2.18076248698341E-019,1.75846411766927E-019,1.32857893083772E-022,-4.058246758712E-022,-5.65611761388704E-022,6.93602455090913E-022,-9.20109641686214E-019,-6.36539890715726E-018,-9.60221053613283E-019,8.03460058384324E-022,1.23780520491019E-020,1.42919024847384E-020,-8.99542150035652E-021,1.98369560522981E-026,1,-2.16646840278335E-026,-5.14439103368144E-047,9.12511390537695E-049,-1.90464858784885E-061,5.73827053861107E-048,-1.47061790581658E-029,-7.34642811726803E-048,-2.66852782280225E-065,-2.57697930246223E-065,6.14936069259011E-083,2.94342574082017E-068,3.45808540973739E-086
