EIGEN VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.06E+036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854888299881750000000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4533822018505290000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1461642565988790000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4003971377814320000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3705645637380690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16695517040308.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2972713118607.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7485864651.51427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7908532.64670668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.06438023988552E-027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.96229737782858E-056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.85749777866058E-055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.2511564147788E-043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7.46236309601346E-036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.00825584510219E-035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.09697715356847E-027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.56161957480586E-027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.9730808693658E-027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.43448027043449E-027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.42959127900182E-023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.75359298137081E-023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6.80206858897776E-022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.29448872812903E-021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-64.1100859921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-107653961.379146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7323034201503.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-16538733447529.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-503624526907739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1448524755089890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.44E+019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EIGEN VECTORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
